station_id,name,country,latitude,longitude,status,valid_from,valid_to,precipitation_observations,first_precipitation_date,last_precipitation_date,min_precipitation_mm,max_precipitation_mm,avg_precipitation_mm,total_precipitation_sample_mm
06079,Anholt Havn,DNK,56.7169,11.5098,Active,2019-01-30T16:05:55Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,56.4,1.67,8423.7
06080,Esbjerg Lufthavn,DNK,55.5281,8.5627,Active,2019-01-30T16:06:45Z,2024-11-14T16:10:27Z,4656,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,99.6,2.6,12085.1
06082,Borris,DNK,55.9591,8.6242,Active,2002-04-17T00:00:00Z,2019-01-30T16:08:45Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,60.5,2.59,13051.8
06088,Nordby,DNK,55.4426,8.3869,Active,2023-08-18T08:57:54Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,97.6,2.35,11834.8
06093,Vester Vedsted,DNK,55.2908,8.6551,Active,2003-12-11T00:00:00Z,2019-01-15T13:34:47Z,1092,2012-01-02T00:00:00.001000+01:00,2014-12-31T00:00:00.001000+01:00,0.0,36.1,2.51,2741.5
06102,Horsens/Bygholm,DNK,55.868,9.7872,Active,2019-01-15T13:34:47Z,2019-01-30T12:45:09Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,50.7,2.12,10657.9
06104,Billund Lufthavn,DNK,55.7379,9.1674,Active,2024-05-28T07:35:38Z,2024-11-14T16:10:28Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,71.2,2.76,13917.8
06109,Askov,DNK,55.4715,9.1124,Active,2002-04-24T00:00:00Z,2019-01-30T16:16:33Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,60.7,2.72,13705.8
06110,Flyvestation Skrydstrup,DNK,55.2252,9.2634,Active,1985-01-16T00:00:00Z,2019-01-15T13:34:47Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,72.0,2.46,12372.9
06116,Store Jyndevad,DNK,54.8977,9.1284,Active,2019-10-04T11:57:08Z,2022-11-29T11:52:16Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,84.5,2.65,13339.3
